Name,Active,Sc Rate,Notes
McLuck,1,1.0,
Pulsz,1,1.0,
Stake,1,1.0,
Jackpot Rabbit,1,1.0,
The Money Factory,1,1.0,
Lucky Land Slots,1,1.0,
Chumba,1,1.0,est
Modo,1,1.0,
Wow Vegas,1,1.0,
Hello Millions,1,1.0,
Play Fame,1,1.0,
Crown Coins,1,1.0,
Mega Bonanza,1,1.0,
Jackpota,1,1.0,
Real Prize,1,1.0,
Funrize,1,1.0,
Fortune Coins,1,1.0,
No Limit Coins,1,1.0,
Kickr,1,1.0,
Golden Hearts,1,1.0,
Pulsz Bingo,1,1.0,
Spree,1,1.0,
Clubs Poker,1,1.0,
Lonestar,1,1.0,
Moonspin,1,1.0,
Legendz,1,1.0,
Lucky Land Casino,1,1.0,
Rolling Riches,1,1.0,
