Site,Redemption Date,Redemption Time,Amount,Receipt Date,Method,Is Free Sc,User,Notes,More Remaining
Lucky Hands,12/31/25,2:00:00,360.48,1/2/26,USAA Checking,No,fooyay,,No
Stake,1/1/26,11:50:00,4409.62,1/2/26,NFCU Checking,No,mrs. fooyay,,No
Stake,1/1/26,23:15:00,2483.44,1/2/26,NFCU Checking,No,mrs. fooyay,,No
Golden Hearts,1/1/26,11:48:00,278.48,1/2/26,USAA Checking,No,fooyay,,No
Modo,1/2/26,0:52:00,393.8,1/5/26,NFCU Checking,No,fooyay,,No
Modo,1/2/26,13:36:00,607.4,1/5/26,NFCU Checking,No,mrs. fooyay,,No
Wow Vegas,1/2/26,13:35:00,318.86,1/6/26,USAA Checking,No,fooyay,,No
Moonspin,1/2/26,9:36:00,411.44,1/7/26,NFCU Checking,No,fooyay,,No
Stake,1/3/26,15:59:00,3562.92,1/5/26,NFCU Checking,Yes,mrs. fooyay,Free Cash Plat IV bonus,No
Pulsz Bingo,1/4/26,1:10:00,500.2,1/5/26,NFCU Checking,No,fooyay,,No
Rolling Riches,1/4/26,1:30:00,442.8,,NFCU Debit,No,fooyay,,No
Legendz,1/5/26,11:12:00,210,1/6/26,NFCU Checking,No,fooyay,,No
Golden Hearts,1/5/26,21:35:00,289,1/6/26,USAA Checking,No,fooyay,,No
Modo,1/5/26,21:30:00,313.45,1/7/26,NFCU Checking,No,mrs. fooyay,,No
Stake,1/6/26,8:20:00,2373.14,1/7/26,NFCU Checking,No,mrs. fooyay,,No
Stake,1/6/26,8:26:00,2305,1/7/26,NFCU Checking,No,mrs. fooyay,Stake Plat IV Bonus,No
Stake,1/6/26,8:15:00,2381.58,1/7/26,NFCU Checking,No,fooyay,,No
Stake,1/7/26,12:55:00,2371.88,1/7/26,NFCU Checking,No,mrs. fooyay,,No
Stake,1/7/26,10:39:00,2508.06,1/8/26,NFCU Checking,No,fooyay,,No
Moonspin,1/7/26,9:28:00,488.62,,NFCU Checking,No,fooyay,,No
Stake,1/8/26,13:56:00,2461.57,1/8/26,NFCU Checking,No,fooyay,,No
Stake,1/8/26,13:59:00,2530.63,1/8/26,NFCU Checking,No,mrs. fooyay,,No
Stake,1/9/26,8:40:00,4319.62,1/9/26,NFCU Checking,No,fooyay,,No
Stake,1/9/26,8:28:00,4488.68,1/9/26,NFCU Checking,No,mrs. fooyay,,No
Stake,1/9/26,19:37:00,4182.43,1/9/26,NFCU Checking,No,fooyay,,No
Stake,1/9/26,19:40:00,3805.76,1/9/26,NFCU Checking,No,mrs. fooyay,,No
My Prize,1/9/26,21:40:00,119.85,1/9/26,NFCU Checking,No,fooyay,,No
Stake,1/10/26,14:00:00,210.5,1/10/26,NFCU Checking,No,fooyay,,No
Stake,1/10/26,14:06:00,155.51,1/10/26,NFCU Checking,No,mrs. fooyay,,No
Rolling Riches,1/10/26,15:34:00,253.28,,NFCU Debit,No,fooyay,,No
Golden Hearts,1/10/26,18:43:00,262.11,,USAA Checking,No,fooyay,,No
Stake,1/11/26,11:08:00,5000,,NFCU Checking,No,fooyay,,Yes
Stake,1/11/26,11:12:00,131.63,,NFCU Checking,No,fooyay,,No
Stake,1/11/26,11:14:00,4000,,NFCU Checking,No,mrs. fooyay,,Yes
Stake,1/11/26,11:15:00,1074.98,,NFCU Checking,No,mrs. fooyay,,No
Legendz,1/11/26,14:33:00,279.9,,NFCU Checking,No,fooyay,,No
