Site Session,Site,Redemption Date,Redemption Time,Amount,Receipt Date,Method,Processed,Is Free Sc,User,Notes,More Remaining
834,Golden Hearts,2026-01-01,11:48:00,278.48,2026-01-02,USAA Checking,0,0,fooyay,,0
827,Stake,2026-01-01,11:50:00,4409.62,2026-01-02,NFCU Checking,0,0,mrs. fooyay,,0
828,Stake,2026-01-01,23:27:26,2483.44,2026-01-02,NFCU Checking,0,0,mrs. fooyay,,0
837,Spree,2026-01-02,00:15:08,0.0,,,0,0,fooyay,Balance Closed - Net Loss: $13.01 ($0.48 SC marked dormant),0
830,Modo,2026-01-02,00:52:00,393.8,2026-01-05,NFCU Checking,0,0,fooyay,,0
838,Moonspin,2026-01-02,09:36:00,411.44,,NFCU Checking,0,0,fooyay,Closes out the last 2025 Moonspin basis,0
833,Wow Vegas,2026-01-02,13:34:32,318.86,2026-01-06,USAA Checking,0,0,fooyay,"Basis from 2025, was a cross-wash with Roulette on Gwen's Modo",0
831,Modo,2026-01-02,13:36:00,607.4,2026-01-05,NFCU Checking,0,0,mrs. fooyay,Basis originating in 2025.  Crossed with fooyay's LS and Wow on Roulette.,0
,Stake,2026-01-03,15:59:00,3562.92,2026-01-05,NFCU Checking,0,1,mrs. fooyay,Free cash Plat IV bonus and saturday daily drops.,0
836,Pulsz Bingo,2026-01-04,01:10:00,500.2,2026-01-05,NFCU Checking,0,0,fooyay,,0
840,Rolling Riches,2026-01-04,01:30:00,442.8,,NFCU Debit,0,0,fooyay,,0
839,Legendz,2026-01-05,11:12:00,210.0,,USAA Checking,0,0,fooyay,Test,0
832,Modo,2026-01-05,21:30:00,313.45,,NFCU Checking,0,0,mrs. fooyay,,0
835,Golden Hearts,2026-01-05,21:35:00,289.0,,USAA Checking,0,0,fooyay,,0
826,Stake,2026-01-06,08:15:00,2381.58,,NFCU Checking,0,0,fooyay,,0
829,Stake,2026-01-06,08:20:00,2373.14,,NFCU Checking,0,0,mrs. fooyay,,0
,Stake,2026-01-06,08:26:00,2305.0,,NFCU Checking,0,1,mrs. fooyay,Stake Plat IV Bonus,0
